contract_id,event_date,event_type
34348,2021-03-23 19:22:20,Предложение ТВ
34348,2021-03-23 19:22:45,Обращение в службу заботы о клиентах
40463,2021-04-05 13:03:49,Предложение ТВ
40463,2021-04-05 13:09:37,Внутреннее сообщение
41817,2021-03-19 19:53:49,Обращение в службу заботы о клиентах
41817,2021-04-24 15:59:28,Операция с mac-адресом
42097,2021-04-06 17:08:22,Закрепление сообщения
42097,2021-04-06 17:08:27,Закрепление сообщения
42097,2021-04-07 20:06:14,Отключение услуги Аренда ТВ-приставки
42097,2021-04-07 20:06:21,Оборудование
6359,2021-04-22 5:52:40,Обращение в службу заботы о клиентах
6359,2021-04-22 10:04:16,Обращение в службу заботы о клиентах
6359,2021-04-22 12:39:41,Изменение истории
6359,2021-04-22 12:39:58,Продление действия тарифа
24036,2021-03-22 15:38:07,Добавление в Обращались с номеров
24036,2021-03-22 15:40:31,Обращение в службу заботы о клиентах
43452,2021-04-07 11:23:34,Перенос денежных средств
43452,2021-04-07 11:23:57,Изменение истории
46256,2021-03-27 21:49:59,Добавление в Обращались с номеров
46256,2021-03-27 21:50:09,Обращение в службу заботы о клиентах
46256,2021-03-27 21:54:05,Предложение ТВ
46256,2021-03-27 21:59:36,Обращение в службу заботы о клиентах
2894,2021-04-13 22:23:26,Перенос денежных средств
7715,2021-04-02 11:15:43,Перенос денежных средств
7715,2021-04-02 11:17:18,Перенос денежных средств
51050,2021-03-24 10:13:29,Смена тарифа
51999,2021-03-01 8:36:33,Обращение в службу заботы о клиентах
51999,2021-04-20 18:18:16,Изменение данных клиента
51999,2021-04-20 18:18:16,Возвращение клиента
51999,2021-04-20 18:19:25,Операция с mac-адресом
51999,2021-04-20 18:21:17,Активация точки подключения на сутки
51999,2021-04-20 18:30:05,Смена тарифа
51999,2021-04-21 23:07:16,Обращение в службу заботы о клиентах
51999,2021-04-21 23:07:34,Смена пароля
51999,2021-04-26 19:29:20,Обращение в службу заботы о клиентах
52485,2021-03-15 10:15:38,Обращение в службу заботы о клиентах
52485,2021-03-15 19:52:08,Внутреннее сообщение
52485,2021-03-18 17:34:31,Уведомления: подключение
52485,2021-03-18 17:37:26,Уведомления: подтверждение
53166,2021-04-14 20:03:32,Добавление в Обращались с номеров
53166,2021-04-14 20:19:21,Обращение в службу заботы о клиентах
21960,2021-03-21 17:46:28,Обращение в службу заботы о клиентах
21960,2021-03-21 18:48:23,Операция с mac-адресом
21960,2021-03-21 19:05:54,Состояние клиентского оборудования
24788,2021-03-17 21:32:39,Обращение в службу заботы о клиентах
24788,2021-04-04 13:54:12,Обращение в службу заботы о клиентах
24788,2021-04-13 19:12:48,Обращение в службу заботы о клиентах
24788,2021-04-18 15:20:57,Смена схемы оплаты
24788,2021-04-18 15:22:05,Обращение в службу заботы о клиентах
24788,2021-04-19 17:15:33,Отключение услуги Аренда ТВ-приставки
24788,2021-04-19 17:15:36,Оборудование
24788,2021-04-19 17:15:47,Обращение в службу заботы о клиентах
24788,2021-04-22 22:04:58,Смена пароля
24788,2021-04-22 22:06:19,Обращение в службу заботы о клиентах
32668,2021-03-23 16:43:11,"Включение услуги ""IPTV-Бонус"""
32668,2021-03-23 16:43:38,Включена 20% скидка
32668,2021-03-23 16:43:59,Включение услуги Аренда ТВ-приставки
32668,2021-03-23 16:43:59,Включение IPTV-пакета
32668,2021-03-23 16:43:59,Оборудование
32668,2021-03-23 16:46:24,Отключение услуги Аренда ТВ-приставки
32668,2021-03-23 16:46:27,Оборудование
32668,2021-03-23 16:46:38,Выключение IPTV-пакета
32668,2021-03-23 16:46:42,"Отключение услуги ""IPTV-Бонус"""
32668,2021-03-23 16:46:52,Отключение скидки 20%
32668,2021-03-23 16:46:56,Отключение скидки 20%
4020,2021-04-07 12:18:33,Обращение в службу заботы о клиентах
4020,2021-04-07 12:23:20,Предложение тарифа
55792,2021-04-24 23:53:46,Перенос денежных средств
55792,2021-04-24 23:55:34,Изменение истории
6138,2021-03-28 14:26:19,Обращение в службу заботы о клиентах
58677,2021-04-28 19:22:02,Перенос денежных средств
58677,2021-04-28 19:23:23,Изменение истории
60800,2021-03-08 13:31:35,Обращение в службу заботы о клиентах
60800,2021-03-08 18:56:09,Состояние клиентского оборудования
61566,2021-03-08 12:04:50,Активация гарантированного платежа
61566,2021-03-08 12:04:57,Обращение в службу заботы о клиентах
61566,2021-03-10 9:46:09,Обращение в службу заботы о клиентах
61566,2021-03-10 9:46:13,Обращение в службу заботы о клиентах
61566,2021-03-10 9:55:14,Обращение в службу заботы о клиентах
61566,2021-03-10 14:31:59,Обращение в службу заботы о клиентах
61566,2021-03-10 14:40:50,Обращение в службу заботы о клиентах
61566,2021-03-11 13:58:13,Обращение в службу заботы о клиентах
61566,2021-03-11 14:19:36,Обращение в службу заботы о клиентах
61566,2021-03-11 14:55:29,Обращение в службу заботы о клиентах
61566,2021-03-11 14:57:19,Обращение в службу заботы о клиентах
61566,2021-03-11 19:24:34,Обращение в службу заботы о клиентах
61566,2021-03-12 2:23:54,Обращение в службу заботы о клиентах
61566,2021-03-12 6:54:17,Обращение в службу заботы о клиентах
61566,2021-03-12 8:28:18,Обращение в службу заботы о клиентах
61566,2021-03-25 15:56:49,Обращение в службу заботы о клиентах
61566,2021-03-25 16:20:32,Обращение в службу заботы о клиентах
61566,2021-03-25 16:44:54,Обращение в службу заботы о клиентах
61566,2021-03-25 16:50:56,Обращение в службу заботы о клиентах
61566,2021-03-25 18:12:07,Состояние клиентского оборудования
62903,2021-03-03 19:07:41,Обращение в службу заботы о клиентах
62903,2021-03-03 19:18:41,Обращение в службу заботы о клиентах
62903,2021-03-07 1:27:54,Обращение в службу заботы о клиентах
62903,2021-03-09 13:58:50,Обращение в службу заботы о клиентах
62903,2021-03-09 18:23:45,Обращение в службу заботы о клиентах
62903,2021-03-09 18:29:21,Обращение в службу заботы о клиентах
62903,2021-03-12 9:34:54,Обращение в службу заботы о клиентах
62903,2021-03-12 10:52:52,Обращение в службу заботы о клиентах
62903,2021-03-12 10:58:31,Обращение в службу заботы о клиентах
63248,2021-03-25 12:07:26,Внутреннее сообщение
63248,2021-03-25 12:10:00,Обращение в службу заботы о клиентах
63248,2021-03-26 13:34:39,Отключение услуги Аренда ТВ-приставки
63248,2021-03-26 13:34:41,Отключение услуги Аренда ТВ-приставки
63248,2021-03-26 13:34:44,Оборудование
63248,2021-03-26 13:34:54,Оборудование
63248,2021-03-26 13:35:00,Обращение в службу заботы о клиентах
64012,2021-04-09 22:40:01,Обращение в службу заботы о клиентах
64012,2021-04-10 21:48:33,Состояние клиентского оборудования
48810,2021-04-12 15:33:46,Обращение в службу заботы о клиентах
48810,2021-04-22 16:52:16,Обращение в службу заботы о клиентах
48810,2021-04-26 17:14:51,Отключение услуги Аренда ТВ-приставки
48810,2021-04-26 17:14:56,Оборудование
48810,2021-04-26 17:15:04,Обращение в службу заботы о клиентах
55568,2021-04-15 21:03:52,Добавление в Обращались с номеров
55568,2021-04-15 21:05:18,Включение интернета на 20 минут
55568,2021-04-15 21:05:40,Обращение в службу заботы о клиентах
55568,2021-04-15 21:21:36,Обращение в службу заботы о клиентах
55568,2021-04-16 11:54:59,Операция с mac-адресом
67993,2021-04-25 17:19:28,Обращение в службу заботы о клиентах
68548,2021-04-06 14:09:29,Предложение ТВ
68548,2021-04-06 14:11:42,Обращение в службу заботы о клиентах
69452,2021-04-15 16:01:47,Обращение в службу заботы о клиентах
70461,2021-03-17 19:56:58,Добавление в Обращались с номеров
70461,2021-03-17 19:57:41,Обращение в службу заботы о клиентах
70461,2021-03-17 20:05:40,Обращение в службу заботы о клиентах
1436,2021-03-04 17:03:02,Обращение в службу заботы о клиентах
66272,2021-03-13 11:24:04,Обращение в службу заботы о клиентах
66272,2021-03-13 11:27:18,Предложение IPTV
66272,2021-03-15 10:42:31,Состояние клиентского оборудования
66272,2021-03-30 14:55:45,Смена тарифа
71599,2021-03-22 11:31:22,Обращение в службу заботы о клиентах
71599,2021-03-22 11:31:26,Предложение IPTV
71924,2021-04-16 9:32:22,Предложение ТВ
71924,2021-04-16 9:32:34,Обращение в службу заботы о клиентах
71924,2021-04-16 11:56:12,Изменение данных клиента
71924,2021-04-16 11:56:12,Возвращение клиента
71924,2021-04-16 11:58:25,Операция с mac-адресом
71924,2021-04-16 12:10:14,Активация точки подключения на сутки
71984,2021-03-25 17:34:03,Добавление в Обращались с номеров
71984,2021-03-25 17:37:24,Предложение ТВ
71984,2021-03-25 17:39:36,Обращение в службу заботы о клиентах
71984,2021-03-25 18:30:45,Операция с mac-адресом
71984,2021-03-25 18:33:59,Оборудование
71984,2021-03-25 18:40:17,Оборудование
71984,2021-04-01 19:39:58,Изменение контактных телефонов
72050,2021-04-15 19:06:13,Предложение ТВ
72050,2021-04-15 19:06:45,Обращение в службу заботы о клиентах
72094,2021-03-13 16:52:36,Добавление в Обращались с номеров
72094,2021-03-13 19:33:08,Состояние клиентского оборудования
72094,2021-03-13 19:35:51,Внесение
72094,2021-03-17 19:31:01,Изменение истории
72689,2021-04-27 9:28:03,Перенос денежных средств
73312,2021-04-07 11:46:36,Перенос денежных средств
73312,2021-04-07 11:46:56,Изменение истории
73312,2021-04-07 11:47:21,Продление действия тарифа
74033,2021-03-10 19:48:34,Изменение данных клиента
74033,2021-03-10 19:48:36,Смена IP-адреса
74033,2021-03-10 19:48:37,Смена тарифа
74033,2021-03-10 19:48:37,Внутреннее сообщение
74033,2021-03-10 19:49:09,Смена пароля
74033,2021-03-10 19:50:39,Изменение данных клиента
74033,2021-03-10 19:53:11,Блокировка
74127,2021-04-05 19:22:41,Перенос денежных средств
74127,2021-04-05 19:23:20,Изменение истории
2853,2021-03-28 10:27:09,Обращение в службу заботы о клиентах
2853,2021-03-29 10:36:58,Обращение в службу заботы о клиентах
2853,2021-03-29 13:23:09,Обращение в службу заботы о клиентах
2853,2021-03-29 15:42:41,Изменение истории
75498,2021-04-09 11:47:54,Перенос денежных средств
75498,2021-04-09 11:49:27,Изменение истории
7855,2021-03-07 11:38:21,Смена пароля
7855,2021-03-07 11:50:16,Обращение в службу заботы о клиентах
7855,2021-03-07 11:51:24,Изменение контактных телефонов
7855,2021-03-07 21:49:26,Обращение в службу заботы о клиентах
7855,2021-03-08 12:37:25,Состояние клиентского оборудования
7855,2021-03-28 17:52:15,Обращение в службу заботы о клиентах
7855,2021-03-30 18:10:36,Реестр договоров
7855,2021-03-30 18:10:44,Реестр договоров
76352,2021-04-03 17:55:14,Смена схемы оплаты
76352,2021-04-03 17:56:05,Обращение в службу заботы о клиентах
76352,2021-04-03 17:56:07,Предложение ТВ
49089,2021-03-05 22:43:16,Изменение контактных телефонов
77194,2021-03-31 22:07:41,Добавление в Обращались с номеров
77194,2021-03-31 22:19:30,Обращение в службу заботы о клиентах
77534,2021-03-26 15:07:37,Внутреннее сообщение
77534,2021-03-27 13:56:15,Изменение истории
77534,2021-03-27 13:56:41,Закрепление сообщения
77534,2021-03-27 13:56:47,Обращение в службу заботы о клиентах
77534,2021-03-29 10:28:28,Закрепление сообщения
78213,2021-04-24 19:28:14,Предложение ТВ
78213,2021-04-24 19:28:54,Обращение в службу заботы о клиентах
78213,2021-04-24 19:29:40,Смена тарифа
78213,2021-04-24 21:27:47,Обращение в службу заботы о клиентах
79426,2021-04-26 10:56:44,Внутреннее сообщение
79426,2021-04-26 10:56:52,Обращение в службу заботы о клиентах
79426,2021-04-26 10:58:04,Обращение в службу заботы о клиентах
80305,2021-04-01 17:05:52,Обращение в службу заботы о клиентах
82248,2021-04-26 13:49:13,Отключение услуги Аренда ТВ-приставки
82248,2021-04-26 13:49:16,Оборудование
82248,2021-04-26 13:53:00,Обращение в службу заботы о клиентах
85017,2021-03-27 17:07:41,Возвращение клиента
85017,2021-03-27 17:07:41,Смена тарифа
85017,2021-03-27 17:07:41,Внутреннее сообщение
85017,2021-03-27 17:08:29,Операция с mac-адресом
85017,2021-03-27 17:09:13,Изменение данных клиента
85017,2021-03-27 17:09:30,"Включение услуги ""IPTV-Бонус"""
85017,2021-03-27 17:09:40,Смена следующего тарифа
85017,2021-03-27 17:10:48,Оборудование
85017,2021-03-27 17:10:48,Включение услуги Аренда ТВ-приставки
85017,2021-03-27 17:10:48,Включение IPTV-пакета
85017,2021-03-27 17:10:48,Оборудование
85017,2021-03-28 16:59:04,Обращение в службу заботы о клиентах
85017,2021-03-30 9:14:11,Обращение в службу заботы о клиентах
85017,2021-04-05 10:34:52,Отключение услуги Аренда ТВ-приставки
85017,2021-04-05 10:34:56,Оборудование
85017,2021-04-05 10:35:58,Обращение в службу заботы о клиентах
85017,2021-04-05 10:36:24,"Отключение услуги ""IPTV-Бонус"""
86740,2021-04-11 14:38:23,Добавление в Обращались с номеров
86740,2021-04-11 14:40:22,Обращение в службу заботы о клиентах
86740,2021-04-12 11:09:38,Внутреннее сообщение
86740,2021-04-13 18:26:40,Обращение в службу заботы о клиентах
86740,2021-04-17 14:31:33,Изменение данных клиента
86740,2021-04-17 14:31:35,Смена IP-адреса
86740,2021-04-17 14:32:01,Смена пароля
86740,2021-04-17 14:33:11,Активация точки подключения на сутки
86740,2021-04-28 13:08:44,Внутреннее сообщение
87120,2021-03-10 18:59:47,Изменение данных клиента
87120,2021-03-10 19:05:06,Смена пароля
87120,2021-03-10 19:06:16,Изменение истории
87120,2021-03-10 19:06:20,Изменение истории
87120,2021-03-10 19:06:23,Изменение истории
87120,2021-03-10 19:07:22,Активация точки подключения на сутки
87120,2021-03-10 19:12:13,Возвращение клиента
87120,2021-03-10 19:12:54,Смена тарифа
87120,2021-03-10 19:13:11,Смена тарифа
87120,2021-03-10 19:13:32,"Включение услуги ""IPTV-Бонус"""
87120,2021-04-11 0:09:11,Активация гарантированного платежа
87120,2021-04-11 0:09:35,Предложение ТВ
87120,2021-04-11 0:10:03,"Предложение акции ""Пригласи друга"""
87120,2021-04-11 0:10:24,Обращение в службу заботы о клиентах
87669,2021-04-11 18:57:36,Добавление в Обращались с номеров
87669,2021-04-11 19:00:33,Предложение ТВ
87669,2021-04-11 19:02:10,Обращение в службу заботы о клиентах
88030,2021-03-28 19:49:17,Активация гарантированного платежа
88030,2021-03-28 19:49:24,Обращение в службу заботы о клиентах
88596,2021-03-11 16:12:29,Обращение в службу заботы о клиентах
88596,2021-03-11 16:41:20,Обращение в службу заботы о клиентах
88789,2021-04-14 10:39:05,Реестр договоров
88797,2021-04-28 22:15:55,Перенос денежных средств
88797,2021-04-28 22:16:29,Изменение истории
89921,2021-04-17 16:16:24,Обращение в службу заботы о клиентах
89921,2021-04-17 16:16:56,Предложение ТВ
90754,2021-03-23 14:31:38,Обращение в службу заботы о клиентах
90992,2021-04-22 21:18:51,Перенос денежных средств
90992,2021-04-22 21:19:06,Изменение истории
91201,2021-04-11 21:04:25,Обращение в службу заботы о клиентах
91313,2021-04-20 10:27:35,Обращение в службу заботы о клиентах
91313,2021-04-21 19:01:39,Отключение услуги Аренда ТВ-приставки
91313,2021-04-21 19:01:48,Оборудование
91896,2021-03-29 22:49:02,Обращение в службу заботы о клиентах
91896,2021-03-29 22:58:06,Обращение в службу заботы о клиентах
92192,2021-04-01 10:31:08,Обращение в службу заботы о клиентах
92192,2021-04-01 10:36:45,Обращение в службу заботы о клиентах
92192,2021-04-01 10:38:01,Внутреннее сообщение
92213,2021-04-12 15:28:04,Предложение ТВ
92213,2021-04-12 15:34:20,Обращение в службу заботы о клиентах
92213,2021-04-15 13:20:18,Добавление в Обращались с номеров
92213,2021-04-15 13:21:08,Обращение в службу заботы о клиентах
92681,2021-04-11 12:34:23,Операция с mac-адресом
92681,2021-04-15 15:00:51,Добавление в Обращались с номеров
93431,2021-03-05 17:28:43,Предложение IPTV
93431,2021-03-05 17:28:53,Обращение в службу заботы о клиентах
96477,2021-03-08 11:56:37,Включение интернета на 20 минут
96477,2021-03-30 20:14:13,Обращение в службу заботы о клиентах
96477,2021-04-13 21:04:11,Обращение в службу заботы о клиентах
96477,2021-04-13 21:05:20,Предложение тарифа
96964,2021-04-26 17:34:36,Отключение услуги Аренда ТВ-приставки
96964,2021-04-26 17:34:40,Оборудование
96964,2021-04-26 17:34:53,Обращение в службу заботы о клиентах
96964,2021-04-26 17:45:45,Закрепление сообщения
96989,2021-03-21 17:21:26,Обращение в службу заботы о клиентах
96989,2021-03-21 20:51:24,Обращение в службу заботы о клиентах
96989,2021-04-10 16:10:14,Обращение в службу заботы о клиентах
99689,2021-03-05 12:49:06,Внутреннее сообщение
99689,2021-03-05 12:50:49,Обращение в службу заботы о клиентах
99689,2021-03-05 18:36:44,Изменение данных клиента
99689,2021-03-05 18:36:45,Смена IP-адреса
99689,2021-03-05 18:37:23,Смена пароля
99689,2021-03-05 18:38:17,Активация точки подключения на сутки
99689,2021-04-01 19:32:20,Внутреннее сообщение
99689,2021-04-03 13:54:33,Отключение услуги Аренда ТВ-приставки
99689,2021-04-03 13:54:37,Оборудование
22268,2021-04-05 14:24:48,Обращение в службу заботы о клиентах
22268,2021-04-05 15:56:20,Операция с mac-адресом
101641,2021-03-03 13:13:54,Закрепление сообщения
101641,2021-03-09 20:51:48,Обращение в службу заботы о клиентах
102042,2021-03-22 19:19:08,Внутреннее сообщение
102042,2021-03-28 18:49:18,Предложение тарифа
102042,2021-03-28 18:49:19,Предложение ТВ-пакета
102042,2021-03-29 18:27:02,Отключение услуги Аренда ТВ-приставки
102042,2021-03-29 18:27:08,Оборудование
102042,2021-04-18 13:18:19,Перенос денежных средств
102107,2021-04-07 15:40:24,Обращение в службу заботы о клиентах
104926,2021-04-17 14:12:42,Обращение в службу заботы о клиентах
104926,2021-04-18 11:38:20,Отключение услуги Аренда ТВ-приставки
104926,2021-04-18 11:40:01,Включение услуги Аренда ТВ-приставки
104926,2021-04-18 11:40:01,Включение IPTV-пакета
104926,2021-04-18 11:40:06,Отключение услуги Аренда ТВ-приставки
104926,2021-04-18 11:41:46,Оборудование
105078,2021-03-20 19:29:39,Изменение данных клиента
105078,2021-03-20 19:29:39,Возвращение клиента
105078,2021-03-20 19:29:39,Смена тарифа
105078,2021-03-20 19:29:39,Внутреннее сообщение
105078,2021-03-20 19:29:40,Активация точки подключения на сутки
105526,2021-04-12 7:21:34,Перенос денежных средств
105526,2021-04-12 7:22:18,Продление действия тарифа
106393,2021-04-07 20:55:50,Перенос денежных средств
106393,2021-04-07 20:56:04,Изменение истории
106523,2021-03-28 22:26:52,Внесение
106523,2021-03-29 22:31:01,Изменение истории
108241,2021-03-30 23:02:01,Изменение данных клиента
108241,2021-03-30 23:04:07,Реестр договоров
108466,2021-04-05 14:32:48,Добавление в Обращались с номеров
108466,2021-04-05 14:34:32,Обращение в службу заботы о клиентах
109210,2021-04-12 14:09:02,Обращение в службу заботы о клиентах
109210,2021-04-12 14:11:10,Обращение в службу заботы о клиентах
109298,2021-04-20 20:28:02,Предложение ТВ
109298,2021-04-20 20:28:15,Обращение в службу заботы о клиентах
109309,2021-03-25 21:39:04,Обращение в службу заботы о клиентах
110820,2021-03-01 11:28:44,Закрепление сообщения
110820,2021-03-19 18:37:37,Обращение в службу заботы о клиентах
110820,2021-03-20 14:03:22,Обращение в службу заботы о клиентах
111522,2021-03-27 12:35:28,Добавление в Обращались с номеров
111522,2021-03-27 12:37:15,Смена пароля
111522,2021-03-27 12:38:02,Предложение ТВ
111522,2021-03-27 12:38:25,Обращение в службу заботы о клиентах
111522,2021-04-12 17:10:11,Смена пароля
111522,2021-04-12 17:10:12,Смена пароля
111522,2021-04-12 17:10:18,Обращение в службу заботы о клиентах
111522,2021-04-12 17:10:55,Предложение тарифа
112152,2021-04-02 19:17:21,Добавление в Обращались с номеров
112152,2021-04-02 19:21:36,Предложение ТВ-пакета
112152,2021-04-02 19:21:49,Обращение в службу заботы о клиентах
112618,2021-03-07 10:46:13,Добавление в Обращались с номеров
112618,2021-03-07 10:47:49,Обращение в службу заботы о клиентах
112618,2021-03-09 21:22:13,Обращение в службу заботы о клиентах
112618,2021-03-10 12:36:52,Обращение в службу заботы о клиентах
112618,2021-03-17 17:14:51,Отключение услуги Аренда ТВ-приставки
112618,2021-03-17 17:17:25,Оборудование
112682,2021-04-04 20:18:15,Смена тарифа
112682,2021-04-04 20:18:38,Предложение ТВ
112682,2021-04-04 20:19:00,Обращение в службу заботы о клиентах
114734,2021-03-03 12:06:22,Обращение в службу заботы о клиентах
114734,2021-03-03 16:58:52,Добавление в Обращались с номеров
114734,2021-03-03 17:03:21,Предложение автоплатежа
114734,2021-03-04 4:34:31,Обращение в службу заботы о клиентах
114734,2021-03-18 0:52:39,Добавление в Обращались с номеров
114734,2021-03-18 0:57:16,Обращение в службу заботы о клиентах
114734,2021-03-19 15:09:21,Обращение в службу заботы о клиентах
114734,2021-03-19 16:14:58,Состояние клиентского оборудования
115482,2021-03-18 10:08:05,Внутреннее сообщение
115482,2021-03-30 16:13:25,Обращение в службу заботы о клиентах
116259,2021-03-02 13:08:43,Добавление в Обращались с номеров
116259,2021-03-02 13:15:34,Внутреннее сообщение
116259,2021-03-02 17:04:06,Изменение данных клиента
116259,2021-03-02 17:04:08,Смена IP-адреса
116259,2021-03-02 17:05:18,Смена тарифа
116259,2021-03-02 17:06:43,Включение услуги Аренда ТВ-приставки
116259,2021-03-02 17:06:43,Включение IPTV-пакета
116259,2021-03-02 17:06:43,Оборудование
116259,2021-03-02 17:11:10,Смена пароля
116259,2021-03-03 0:17:42,Смена пароля
116826,2021-03-19 3:23:13,Внутреннее сообщение
116826,2021-03-19 3:25:10,Обращение в службу заботы о клиентах
116826,2021-03-19 15:33:09,Внутреннее сообщение
118955,2021-03-19 16:01:42,Обращение в службу заботы о клиентах
118955,2021-03-31 18:33:46,Обращение в службу заботы о клиентах
119160,2021-03-18 8:00:40,Внутреннее сообщение
119160,2021-04-23 16:47:17,Обращение в службу заботы о клиентах
119160,2021-04-23 17:18:44,Внутреннее сообщение
119160,2021-04-27 12:08:19,Отключение услуги Аренда ТВ-приставки
119160,2021-04-27 12:08:22,Оборудование
119160,2021-04-27 12:08:44,Обращение в службу заботы о клиентах
119160,2021-04-27 12:08:57,Изменение истории
119160,2021-04-27 13:15:53,Закрепление сообщения
119160,2021-04-27 13:15:56,Закрепление сообщения
119314,2021-04-10 11:02:23,Активация точки подключения на сутки
119556,2021-04-09 22:08:13,Обращение в службу заботы о клиентах
119586,2021-03-11 12:29:39,Обращение в службу заботы о клиентах
119586,2021-03-11 13:27:04,Оборудование
119635,2021-03-09 12:11:13,Обращение в службу заботы о клиентах
119635,2021-03-19 10:20:49,Смена пароля
119635,2021-03-19 10:21:48,Смена тарифа
119635,2021-03-19 10:21:50,Изменение данных клиента
119635,2021-03-19 10:21:52,Смена IP-адреса
119635,2021-03-19 10:21:52,Смена тарифа
119635,2021-03-19 10:21:52,Внутреннее сообщение
119635,2021-03-19 10:28:09,Блокировка
120338,2021-04-22 18:22:34,Обращение в службу заботы о клиентах
120960,2021-04-02 16:50:42,Состояние клиентского оборудования
121688,2021-03-11 13:48:54,Изменение контактных телефонов
121688,2021-03-12 18:49:27,Изменение данных клиента
121688,2021-03-12 18:49:28,Смена IP-адреса
121688,2021-03-12 18:50:00,Смена пароля
121688,2021-03-12 18:51:15,Отключение скидки 20%
121688,2021-03-12 18:51:15,Смена тарифа
121688,2021-03-12 19:00:54,Активация точки подключения на сутки
121688,2021-03-12 19:07:52,"Включение услуги ""IPTV-Бонус"""
121688,2021-03-12 19:08:47,Включение услуги Аренда ТВ-приставки
121688,2021-03-12 19:08:47,Включение IPTV-пакета
121688,2021-03-12 19:08:47,Оборудование
121688,2021-03-31 10:51:54,Отключение услуги Аренда ТВ-приставки
121688,2021-03-31 10:51:57,Оборудование
121688,2021-03-31 10:52:12,Обращение в службу заботы о клиентах
121807,2021-03-26 11:07:14,Реестр договоров
124458,2021-04-09 17:11:07,Перенос денежных средств
124458,2021-04-09 17:11:14,Перенос денежных средств
124458,2021-04-09 17:12:27,Изменение истории
124820,2021-04-17 2:46:28,Перенос денежных средств
125619,2021-03-01 23:00:33,Активация ГП с IVR
125619,2021-03-04 23:24:19,Активация ГП с IVR
125619,2021-03-16 17:01:49,Обращение в службу заботы о клиентах
125619,2021-03-16 19:12:04,Операция с mac-адресом
125619,2021-03-16 19:15:14,Оборудование
125619,2021-03-16 19:16:36,Состояние клиентского оборудования
125619,2021-03-22 18:26:03,Обращение в службу заботы о клиентах
125619,2021-04-14 13:42:18,Обращение в службу заботы о клиентах
125619,2021-04-21 15:25:51,Отключение услуги Аренда ТВ-приставки
125619,2021-04-21 15:25:56,Оборудование
126650,2021-03-26 19:14:17,Изменение данных клиента
126650,2021-03-26 19:14:17,Возвращение клиента
126650,2021-03-26 19:14:18,Смена тарифа
126650,2021-03-26 19:14:18,Внутреннее сообщение
126650,2021-03-29 11:18:05,Изменение контактных телефонов
126838,2021-04-13 16:13:18,Обращение в службу заботы о клиентах
126838,2021-04-13 16:23:58,Обращение в службу заботы о клиентах
126838,2021-04-13 16:30:44,Предложение тарифа
126838,2021-04-13 16:30:55,Операция с mac-адресом
126838,2021-04-13 16:31:51,Обращение в службу заботы о клиентах
128649,2021-03-16 21:51:55,Смена пароля
128649,2021-03-16 21:52:29,Предложение IPTV
128649,2021-03-16 21:52:45,Обращение в службу заботы о клиентах
128649,2021-03-17 18:18:15,Обращение в службу заботы о клиентах
128649,2021-03-17 18:19:35,Обращение в службу заботы о клиентах
128649,2021-03-23 13:10:35,Обращение в службу заботы о клиентах
128924,2021-03-11 16:41:28,Внутреннее сообщение
128924,2021-03-11 17:25:21,Изменение данных клиента
128924,2021-03-11 17:25:23,Смена IP-адреса
128924,2021-03-11 17:29:59,Активация точки подключения на сутки
130025,2021-03-29 11:43:46,Обращение в службу заботы о клиентах
